T,TM,Tm,SLP,H,W,V,VM,PM2.5
26.7,33.0,20.0,1012.4,60.0,5.1,4.4,13.0,284.79583333333335
29.1,35.0,20.5,1011.9,49.0,5.8,5.2,14.8,219.72083333333333
28.4,36.0,21.0,1011.3,46.0,5.3,5.7,11.1,182.1875
25.9,32.0,20.0,1011.8,56.0,6.1,6.9,11.1,154.03750000000005
24.8,31.1,20.6,1013.6,58.0,4.8,8.3,11.1,223.20833333333331
24.3,30.5,18.8,1014.1,49.0,5.3,7.6,14.8,200.64583333333337
24.9,33.0,10.0,1014.3,27.0,5.3,5.4,14.8,285.225
24.6,34.1,11.0,1013.7,31.0,5.0,3.9,11.1,236.825
25.7,34.1,12.0,1013.9,34.0,6.1,5.9,13.0,276.90833333333336
23.7,30.4,17.0,1015.8,46.0,5.1,5.2,14.8,108.0
23.6,31.0,14.0,1015.1,42.0,5.1,6.3,22.2,107.625
24.1,30.4,14.0,1015.0,43.0,5.3,6.5,13.0,125.89166666666668
25.2,31.0,19.0,1015.4,48.0,4.7,11.1,16.5,181.01250000000005
25.9,31.0,18.4,1015.5,45.0,6.4,7.2,14.8,152.55416666666667
25.2,31.0,19.0,1014.8,49.0,5.0,8.7,16.5,152.32083333333338
23.6,29.0,17.0,1014.9,54.0,4.7,5.9,16.5,319.7375
23.3,29.0,17.0,1015.4,51.0,5.0,7.0,16.5,332.7083333333333
22.1,28.4,14.0,1014.0,55.0,4.7,5.0,13.0,279.6
24.2,31.0,15.0,1014.2,45.0,5.3,5.4,16.5,179.11666666666667
27.0,33.0,19.0,1011.7,47.0,5.5,6.7,14.8,54.79166666666666
24.7,32.6,19.0,1011.7,45.0,6.0,8.0,13.0,93.375
24.8,30.0,19.0,1012.2,54.0,5.3,10.6,16.5,103.0
27.3,32.0,20.0,1012.1,40.0,5.3,6.3,16.5,132.20833333333334
26.9,32.4,17.0,1011.7,32.0,5.8,9.1,16.5,127.70833333333331
27.0,34.0,20.0,1009.6,49.0,5.8,9.3,14.8,109.33333333333331
24.9,33.0,14.0,1012.0,36.0,6.1,4.3,14.8,56.45833333333334
26.0,33.0,19.0,1012.5,52.0,5.3,7.6,13.0,135.83333333333334
26.9,32.0,20.6,1013.8,52.0,5.8,6.9,14.8,122.5
28.4,35.0,17.0,1013.7,36.0,6.3,6.1,14.8,69.66666666666667
28.4,35.0,18.0,1013.5,32.0,5.8,5.6,14.8,79.83333333333333
28.6,37.0,17.0,1013.3,29.0,5.0,5.6,11.1,62.70833333333334
29.1,36.0,19.4,1012.8,26.0,6.0,6.5,16.5,21.20833333333333
28.7,35.0,19.0,1013.8,21.0,6.4,8.9,18.3,1.9166666666666667
29.2,36.0,17.4,1013.5,15.0,6.3,10.2,22.2,1.8333333333333333
29.9,36.0,21.0,1013.2,36.0,6.1,9.1,16.5,105.83333333333331
29.7,35.0,21.0,1013.6,35.0,6.0,6.7,14.8,117.58333333333331
31.6,37.0,21.1,1011.8,28.0,6.0,7.6,14.8,122.70833333333331
31.7,39.0,24.6,1010.0,25.0,6.3,9.1,18.3,111.95833333333331
31.9,38.0,23.5,1010.5,25.0,5.8,9.4,16.5,59.20833333333334
30.4,37.0,22.0,1011.0,27.0,5.6,9.6,16.5,77.20833333333333
30.3,37.0,22.8,1008.4,37.0,5.1,9.6,16.5,98.70833333333331
31.5,39.0,23.9,1010.0,30.0,6.1,8.9,20.6,123.70833333333331
33.2,40.0,23.0,1008.1,26.0,6.4,6.1,11.1,64.79166666666667
33.2,41.0,24.0,1007.1,25.0,6.1,6.9,14.8,52.33333333333334
33.8,41.0,22.0,1006.4,26.0,6.0,6.1,13.0,52.04166666666666
34.4,42.0,26.0,1006.8,27.0,6.4,8.1,18.3,128.33333333333334
32.8,39.0,26.0,1006.6,41.0,5.6,7.0,77.8,0.0
33.8,41.0,26.6,1006.9,37.0,6.8,9.3,18.3,23.20833333333333
27.7,38.4,21.4,1009.2,60.0,5.0,11.3,18.3,15.166666666666664
30.7,38.0,20.2,1009.1,46.0,5.1,4.1,37.0,21.25
34.8,42.0,22.0,1005.6,31.0,6.3,5.4,16.5,81.83333333333333
34.1,40.0,27.0,1007.2,40.0,6.1,6.9,14.8,105.33333333333331
33.2,40.0,25.0,1007.6,41.0,5.6,6.9,14.8,117.75
33.7,41.0,25.0,1009.1,30.0,7.2,7.4,14.8,84.5
31.8,39.0,24.0,1009.9,42.0,5.6,11.3,24.1,46.91666666666666
33.3,41.0,26.0,1005.9,44.0,5.8,4.6,16.5,104.625
34.4,40.1,27.0,1002.6,21.0,6.9,12.0,22.2,110.875
31.7,39.0,23.8,1005.1,26.0,5.1,11.9,20.6,42.95833333333334
29.8,37.1,23.0,1007.1,43.0,5.5,8.1,24.1,0.0
31.9,37.0,26.0,1008.9,49.0,6.1,7.6,29.4,120.875
31.8,40.0,23.2,1009.2,42.0,5.3,4.3,11.1,79.91666666666667
37.4,44.0,27.0,1004.4,21.0,7.1,6.3,14.8,94.75
37.7,43.0,27.9,1002.6,22.0,7.4,6.5,22.2,142.5
36.2,43.0,29.0,1001.2,21.0,6.1,8.9,16.5,133.375
36.2,44.0,27.2,1003.0,36.0,6.8,7.0,13.0,147.83333333333334
35.6,43.0,29.2,1003.3,37.0,6.3,4.3,13.0,158.29166666666666
36.8,43.0,27.6,1003.2,25.0,6.9,10.2,25.9,149.58333333333334
36.6,43.0,25.9,1001.3,21.0,6.8,7.2,18.3,101.5
35.9,42.0,28.0,999.5,21.0,7.2,6.5,18.3,106.5
34.7,42.7,29.2,1002.6,33.0,6.6,8.9,20.6,101.95833333333331
37.0,43.0,29.0,1003.1,24.0,7.2,8.7,22.2,98.41666666666669
35.9,43.0,29.0,1002.1,28.0,7.6,13.3,27.8,94.375
36.9,42.4,29.1,1002.2,22.0,6.9,13.1,25.9,107.625
35.4,41.0,29.7,1002.6,26.0,7.1,12.0,27.8,110.41666666666669
32.6,40.4,28.4,1004.0,41.0,7.4,10.7,18.3,95.83333333333331
33.1,41.0,26.2,1001.4,40.0,5.8,11.5,22.2,72.25
30.9,38.9,25.2,1002.8,51.0,6.1,10.9,20.6,38.66666666666666
30.2,37.0,25.0,1001.9,55.0,5.8,8.1,25.9,45.375
31.1,38.0,23.0,1001.5,51.0,6.3,9.4,18.3,65.16666666666667
30.2,34.0,26.2,1001.3,60.0,6.0,7.4,14.8,66.08333333333333
28.3,35.0,25.4,1001.8,66.0,5.3,12.4,22.2,77.66666666666667
29.8,34.5,23.7,1002.5,53.0,6.6,22.8,33.5,70.25
26.1,29.4,22.5,998.6,68.0,5.0,14.8,24.1,56.29166666666666
24.0,27.3,22.2,998.0,80.0,4.5,19.8,33.5,77.0
27.7,30.7,21.8,999.0,62.0,6.3,17.8,29.4,32.958333333333336
29.8,34.0,23.6,1002.1,55.0,5.6,11.7,22.2,80.625
28.3,34.4,24.3,1001.9,62.0,5.5,15.0,22.2,97.29166666666669
24.7,28.0,20.8,1003.5,72.0,5.3,15.9,22.2,50.70833333333334
25.7,29.8,22.7,1004.6,79.0,5.0,8.7,22.2,40.375
29.7,34.0,22.6,1003.8,56.0,5.5,13.5,27.8,49.41666666666666
29.2,33.0,24.1,1001.9,56.0,5.6,16.3,22.2,61.875
29.8,34.1,23.5,1000.7,55.0,5.5,15.6,22.2,0.0
27.3,34.1,22.2,1000.6,72.0,4.8,15.2,24.1,29.66666666666667
26.7,32.4,23.8,1003.2,71.0,4.8,13.3,22.2,49.125
26.8,31.3,23.5,1002.5,71.0,5.1,15.0,24.1,43.66666666666666
26.6,31.3,22.9,1001.9,70.0,5.3,14.4,25.9,29.83333333333333
26.4,30.1,21.4,1003.2,69.0,6.0,14.3,22.2,35.208333333333336
26.9,30.3,22.7,1003.1,72.0,5.3,15.0,22.2,37.625
22.5,25.9,21.0,1000.9,87.0,4.5,17.0,29.4,38.583333333333336
25.2,29.8,22.9,1001.1,77.0,5.3,15.2,22.2,70.58333333333333
26.2,29.2,23.0,1001.4,69.0,4.7,17.4,27.8,33.166666666666664
26.4,30.7,22.7,1001.5,70.0,5.3,15.7,24.1,38.25
27.9,31.0,22.7,1004.0,68.0,6.0,14.8,22.2,26.58333333333333
22.5,31.2,21.8,999.8,87.0,3.9,18.3,25.9,15.416666666666664
24.7,26.7,21.2,1000.4,77.0,4.7,16.5,22.2,41.375
26.2,29.2,22.1,1002.3,68.0,5.0,17.6,22.2,25.54166666666667
27.7,32.0,22.6,1003.7,65.0,5.6,10.0,22.2,28.375
27.7,32.0,22.5,1005.3,69.0,5.1,10.7,22.2,50.33333333333334
27.3,30.7,23.6,1005.1,71.0,5.6,14.8,29.4,35.375
27.9,31.2,23.2,1005.5,66.0,5.0,11.7,22.2,31.91666666666667
25.9,29.0,22.0,1003.0,76.0,4.7,10.2,14.8,35.291666666666664
26.1,30.0,23.2,1003.6,79.0,5.0,11.5,22.2,26.83333333333333
25.6,29.5,22.4,1004.4,83.0,4.7,11.1,18.3,21.125
25.9,30.4,22.0,1004.1,80.0,5.1,13.3,18.3,35.708333333333336
26.1,30.1,21.7,1002.9,74.0,4.8,14.1,18.3,43.58333333333334
26.3,31.4,21.6,1002.6,74.0,5.6,15.9,24.1,46.04166666666666
26.1,30.6,22.8,1004.5,74.0,4.7,14.3,27.8,82.875
25.9,29.7,21.8,1004.9,70.0,4.8,16.3,22.2,64.91666666666667
26.2,29.6,21.7,1005.4,71.0,4.5,16.7,35.9,30.66666666666667
26.9,30.0,23.1,1006.8,69.0,4.7,9.6,24.1,34.416666666666664
28.2,32.0,22.5,1007.5,66.0,5.0,8.9,16.5,30.625
27.7,31.8,23.0,1007.3,67.0,4.5,8.5,16.5,30.33333333333333
28.7,32.5,23.9,1006.5,61.0,5.1,9.4,18.3,0.0
24.8,32.2,21.4,1007.0,80.0,3.4,8.1,18.3,0.0
25.7,29.3,20.4,1007.3,82.0,4.0,3.5,11.1,0.0
29.2,33.0,23.9,1005.9,66.0,5.0,6.5,14.8,76.875
28.6,33.0,24.0,1005.5,68.0,4.7,2.4,11.1,83.45833333333333
27.5,34.0,23.0,1002.9,72.0,5.0,7.0,22.2,71.66666666666667
27.0,31.0,22.6,1000.1,77.0,4.7,5.6,14.8,69.70833333333333
25.2,29.7,22.0,999.4,80.0,4.2,10.0,18.3,62.375
26.6,30.0,21.8,1001.3,71.0,5.0,14.3,20.6,24.875
28.2,32.0,22.8,1007.6,60.0,6.4,5.0,13.0,43.95833333333334
28.9,33.0,22.9,1009.2,58.0,5.8,7.2,14.8,41.5
27.9,32.5,23.0,1003.6,67.0,5.1,12.6,25.9,30.33333333333333
26.8,32.5,22.6,1005.3,73.0,5.0,9.1,22.2,26.66666666666667
26.5,30.6,21.3,1006.2,76.0,4.5,9.8,18.3,29.0
29.8,34.0,24.4,1007.5,60.0,5.3,6.7,18.3,61.70833333333334
26.2,33.4,21.6,1008.1,74.0,4.5,8.3,18.3,41.583333333333336
27.2,32.0,22.5,1004.8,67.0,5.1,10.0,22.2,80.04166666666667
28.2,33.0,23.0,1007.3,63.0,5.0,11.1,22.2,82.83333333333333
28.1,32.2,22.7,1008.3,61.0,5.0,9.4,14.8,95.25
27.3,33.0,19.0,1010.6,47.0,5.6,8.9,18.3,126.16666666666669
25.4,31.0,22.0,1007.1,73.0,4.5,6.5,22.2,160.66666666666666
22.3,24.5,21.4,1005.3,91.0,3.4,6.5,13.0,245.66666666666663
24.0,27.4,21.4,1006.3,85.0,3.9,8.7,20.6,261.6666666666667
25.6,30.0,21.8,1008.3,72.0,5.3,9.3,20.6,272.4166666666667
25.3,31.0,17.0,1012.4,56.0,4.7,3.1,11.1,149.625
26.6,31.0,21.2,1012.9,60.0,5.0,4.8,14.8,99.70833333333331
26.3,30.4,22.9,1012.1,70.0,5.5,6.9,14.8,217.375
26.6,31.0,22.0,1013.9,68.0,4.7,9.6,20.6,309.375
24.7,29.0,18.3,1013.0,58.0,5.0,5.2,11.1,321.5416666666667
24.5,29.0,18.0,1013.0,62.0,4.2,5.2,11.1,278.0
24.8,30.0,18.0,1011.8,62.0,5.5,5.2,11.1,192.33333333333331
21.9,29.4,14.0,1012.5,48.0,5.0,3.5,13.0,224.16666666666663
22.2,29.4,14.3,1013.0,60.0,6.3,2.2,7.6,196.75
24.7,32.0,15.6,1010.9,47.0,5.3,5.9,13.0,130.70833333333334
25.6,31.6,16.0,1008.3,45.0,6.1,5.9,14.8,194.70833333333331
25.6,32.0,21.0,1010.9,73.0,4.7,2.4,9.4,134.45833333333334
26.4,32.0,19.2,1010.4,51.0,5.3,7.4,18.3,110.0
24.1,31.0,15.0,1011.9,39.0,5.6,6.5,13.0,160.0
25.8,32.0,17.9,1014.1,65.0,4.7,3.3,11.1,118.91666666666669
24.7,30.8,21.3,1013.2,74.0,4.7,3.1,11.1,176.375
24.4,28.6,21.0,1012.8,72.0,3.4,5.2,11.1,185.95833333333331
21.3,28.0,13.2,1012.1,43.0,5.0,5.7,13.0,239.125
20.7,30.1,12.0,1011.1,46.0,4.5,1.9,9.4,365.29166666666674
20.7,30.1,9.0,1010.5,35.0,4.5,4.6,14.8,312.2083333333333
21.2,30.7,10.0,1014.6,38.0,4.5,2.8,11.1,202.875
22.3,30.4,11.8,1013.8,38.0,4.8,3.3,14.8,260.1666666666667
21.5,30.0,11.0,1012.5,47.0,5.6,1.1,9.4,277.7083333333333
22.6,31.0,11.0,1014.3,44.0,4.7,2.2,11.1,284.1666666666667
21.7,29.8,13.0,1014.3,57.0,5.1,5.0,11.1,288.4166666666667
22.2,29.0,14.0,1018.9,52.0,5.0,3.0,11.1,166.91666666666666
19.9,28.0,13.0,1016.1,66.0,4.5,2.4,7.6,169.0
20.2,28.0,13.0,1015.0,66.0,4.0,2.0,7.6,186.04166666666663
23.3,28.0,17.0,1015.8,56.0,4.8,6.5,13.0,nan
22.0,27.7,15.0,1015.8,62.0,4.3,7.4,18.3,255.875
22.1,29.0,13.0,1016.3,56.0,4.7,6.3,14.8,217.08333333333331
21.9,29.0,13.0,1015.6,58.0,4.7,1.9,5.4,229.16666666666663
23.8,30.8,16.0,1014.0,54.0,4.7,5.7,14.8,298.4583333333333
23.4,29.2,15.0,1015.8,54.0,4.8,8.3,16.5,264.9166666666667
23.8,31.0,17.0,1013.7,54.0,4.8,7.0,14.8,404.5
24.9,30.0,19.3,1017.8,53.0,4.8,7.0,13.0,0.0
22.8,29.3,17.0,1017.9,67.0,3.9,7.8,25.2,0.0
24.2,30.0,17.0,1015.3,52.0,4.5,8.5,16.5,205.125
22.2,28.4,14.0,1015.8,52.0,5.1,5.7,13.0,315.7916666666667
22.7,29.0,13.0,1015.3,55.0,4.3,4.8,11.1,322.25
24.5,29.0,17.2,1013.5,54.0,4.3,3.9,11.1,246.04166666666663
24.5,33.0,14.0,1012.2,47.0,4.7,5.0,13.0,200.91666666666663
26.4,36.0,15.0,1009.6,37.0,5.3,5.0,16.5,99.5
26.6,35.0,16.0,1007.8,36.0,4.8,6.1,16.5,100.25
25.6,33.0,19.0,1011.0,44.0,4.8,8.7,20.6,165.0
26.0,32.0,20.0,1011.3,51.0,4.8,6.3,13.0,116.45833333333331
24.9,30.4,19.0,1008.9,57.0,4.8,4.6,9.4,143.0
25.9,32.0,17.9,1013.9,49.0,4.7,6.9,18.3,231.125
26.6,33.0,19.7,1013.0,52.0,4.5,7.6,16.5,218.66666666666663
25.6,31.0,18.0,1015.4,53.0,5.3,8.9,22.2,52.20833333333334
26.0,33.0,17.0,1013.9,39.0,5.0,11.1,18.3,187.5
26.1,33.0,19.7,1011.6,48.0,5.5,8.9,18.3,130.16666666666666
24.9,31.1,20.6,1011.3,63.0,4.3,6.7,14.8,123.125
23.1,30.0,19.0,1011.7,77.0,4.3,3.0,7.6,120.91666666666669
22.6,30.0,20.2,1012.4,74.0,4.5,5.2,11.1,153.625
23.6,29.0,19.4,1014.6,70.0,3.7,6.7,22.2,130.33333333333334
25.0,29.0,20.3,1015.3,60.0,4.5,6.1,11.1,110.70833333333331
25.4,31.0,19.0,1014.9,54.0,5.3,9.1,14.8,138.5
28.6,35.0,21.0,1013.6,34.0,5.1,5.4,11.1,75.75
29.9,37.0,20.0,1014.3,34.0,5.3,4.3,11.1,116.625
31.3,38.0,20.0,1011.7,28.0,5.0,3.9,13.0,80.04166666666667
32.6,40.0,21.0,1009.9,26.0,5.1,4.6,11.1,100.04166666666669
32.5,39.0,21.0,1007.6,28.0,5.3,5.7,18.3,109.45833333333331
32.4,40.0,23.6,1009.4,32.0,5.1,6.1,14.8,110.16666666666669
32.2,40.0,23.0,1009.9,31.0,5.3,7.8,18.3,108.20833333333331
33.2,41.0,23.0,1010.3,23.0,5.8,7.6,13.0,103.83333333333331
34.6,42.0,23.0,1007.9,25.0,4.8,5.0,11.1,74.29166666666667
32.3,40.0,25.0,1006.4,31.0,4.8,5.4,13.0,101.79166666666669
32.0,39.0,23.3,1006.2,30.0,5.8,5.7,14.8,106.16666666666669
31.6,39.0,23.0,1008.1,35.0,4.5,5.7,14.8,89.875
33.9,43.0,23.0,1009.7,27.0,5.3,3.1,11.1,48.20833333333334
34.1,43.0,24.0,1009.0,27.0,5.8,7.0,16.5,47.04166666666666
30.6,39.9,24.9,1011.0,36.0,5.1,3.7,13.0,67.79166666666667
31.1,41.0,24.4,1008.5,42.0,5.5,8.0,13.0,56.66666666666666
28.7,38.2,24.4,1010.1,61.0,4.7,5.9,16.5,79.0
31.9,38.0,24.0,1010.1,43.0,4.8,5.2,11.1,123.58333333333331
33.4,40.0,24.4,1009.9,36.0,6.0,6.7,29.4,80.29166666666667
33.3,40.0,23.4,1007.1,27.0,6.3,6.5,13.0,137.875
32.4,40.0,25.4,1009.0,38.0,5.1,4.8,14.8,87.875
34.5,41.0,22.4,1006.0,38.0,5.6,2.2,11.1,121.20833333333331
35.0,42.0,25.5,1004.8,32.0,5.6,3.5,9.4,130.625
31.7,40.7,24.0,1008.2,50.0,5.6,6.1,14.8,55.41666666666666
25.0,27.0,23.0,1005.2,82.0,3.9,5.7,11.1,120.70833333333331
34.2,40.0,26.8,1007.3,26.0,6.0,8.3,18.3,60.54166666666666
34.4,40.0,26.4,1006.1,26.0,7.6,8.5,22.2,79.0
33.6,39.0,26.0,1005.1,27.0,6.1,10.9,27.8,133.70833333333334
32.4,41.0,26.6,1006.2,44.0,5.1,5.2,14.8,53.25
33.5,41.0,26.0,1004.9,37.0,6.0,3.7,9.4,65.16666666666667
35.7,42.0,28.2,1001.3,32.0,5.5,11.1,18.3,143.375
36.9,44.0,26.7,1001.7,26.0,6.4,8.5,18.3,44.79166666666666
34.2,42.3,22.2,1002.3,48.0,5.0,7.0,11.1,71.95833333333333
29.5,35.0,22.2,1003.7,57.0,5.0,3.3,9.4,17.5
33.8,40.0,26.8,999.0,42.0,6.1,12.2,25.9,101.0
31.1,36.8,26.7,999.8,49.0,4.8,25.6,40.7,84.33333333333333
30.2,36.1,23.8,1003.0,47.0,5.0,18.3,33.5,64.45833333333333
29.8,36.0,24.0,1003.6,47.0,4.7,19.3,29.4,80.54166666666667
28.7,34.3,23.4,1000.3,50.0,4.0,24.3,35.2,65.41666666666667
30.2,36.0,24.2,1004.3,40.0,4.8,17.4,33.5,65.875
29.2,36.0,23.9,1007.0,51.0,5.0,10.6,22.2,72.41666666666667
31.2,38.0,23.8,1005.0,42.0,4.5,13.7,25.9,184.66666666666663
30.3,37.0,24.2,1003.7,38.0,4.7,21.9,29.4,146.20833333333334
26.9,33.9,22.3,1004.7,66.0,4.3,14.3,25.9,112.29166666666669
28.1,33.0,22.0,1005.7,57.0,6.0,11.7,22.2,31.45833333333333
27.2,32.3,22.0,1003.7,55.0,4.8,20.0,29.4,45.83333333333334
28.4,32.1,22.0,1002.2,54.0,4.8,17.6,31.3,33.708333333333336
27.4,33.4,23.0,1005.0,61.0,5.5,11.7,22.2,30.66666666666667
28.4,33.9,24.0,1005.4,58.0,5.3,14.3,27.8,22.33333333333333
27.3,34.5,24.0,1006.5,64.0,4.2,10.4,18.3,25.08333333333333
30.3,36.2,24.0,1005.4,55.0,5.3,4.1,13.0,64.875
29.6,36.2,23.8,1003.5,63.0,5.8,3.1,9.4,47.58333333333334
25.4,34.8,21.0,1006.0,80.0,4.7,3.9,14.8,43.04166666666666
24.7,32.6,21.9,1005.1,79.0,4.3,8.3,20.6,38.41666666666666
26.7,31.1,22.0,1004.0,64.0,5.5,12.4,18.3,22.83333333333333
23.3,24.5,23.0,1003.9,82.0,3.5,14.6,24.1,74.66666666666667
27.0,30.9,22.8,1006.1,60.0,5.3,10.6,18.3,50.58333333333334
27.7,33.1,23.0,1005.8,68.0,5.5,8.3,22.2,58.125
26.5,33.1,24.0,1006.0,75.0,5.5,8.9,18.3,57.29166666666666
26.7,32.6,23.0,1004.7,74.0,5.1,9.8,20.6,38.25
26.8,32.5,23.4,1005.5,68.0,4.5,8.9,18.3,47.41666666666666
25.9,32.0,23.0,1005.1,74.0,4.0,11.5,22.2,56.91666666666666
26.3,31.3,23.0,1006.1,70.0,4.7,10.2,20.6,54.625
28.8,35.4,23.7,1008.7,58.0,6.3,2.8,5.4,45.95833333333334
29.1,33.5,25.9,1010.4,57.0,5.8,8.1,14.8,43.33333333333334
29.1,34.2,22.0,1010.5,49.0,5.5,5.6,11.1,41.958333333333336
29.5,34.9,21.0,1010.8,45.0,5.3,7.0,14.8,0.0
29.8,35.4,21.0,1008.7,48.0,5.5,4.4,11.1,0.0
27.7,35.2,24.0,1008.0,62.0,4.2,2.8,7.6,45.75
26.8,33.6,24.0,1009.1,65.0,4.0,3.0,7.6,70.70833333333333
29.2,34.4,24.0,1003.9,40.0,5.3,12.6,24.1,0.0
28.8,35.7,24.0,1011.0,53.0,5.0,9.6,14.8,13.0
27.1,33.3,22.0,1010.6,58.0,5.5,7.2,14.8,156.25
27.3,33.0,19.0,1012.8,46.0,5.3,8.9,18.3,156.0
20.9,27.9,17.4,1013.4,76.0,3.2,8.1,16.5,252.625
19.1,22.0,17.4,1015.4,81.0,2.3,10.6,18.3,119.41666666666669
19.9,25.1,17.7,1014.9,77.0,3.1,7.8,13.0,126.0
22.8,29.0,13.2,1013.2,42.0,4.2,8.9,16.5,232.33333333333331
21.6,30.0,14.0,1013.4,49.0,3.7,8.5,20.6,215.54166666666663
25.1,33.0,14.0,1013.5,34.0,4.7,10.7,20.6,239.41666666666663
24.4,32.0,16.0,1014.4,32.0,4.5,9.3,22.2,196.54166666666663
25.0,32.0,13.3,1012.9,29.0,4.7,10.9,18.3,232.54166666666663
22.3,29.0,15.0,1012.2,35.0,4.3,9.8,27.8,185.5
24.9,28.0,20.4,1014.6,68.0,4.0,8.0,14.8,166.875
25.4,30.7,20.4,1013.4,67.0,3.5,5.0,11.1,135.16666666666666
25.2,31.2,19.3,1015.6,49.0,3.7,6.3,13.0,211.45833333333331
22.7,30.5,16.6,1013.9,56.0,3.1,6.3,13.0,215.5
23.8,31.0,14.2,1013.3,47.0,4.3,4.8,9.4,223.375
21.9,29.0,14.0,1014.6,43.0,4.5,7.2,16.5,135.58333333333334
22.3,30.3,11.4,1012.6,37.0,5.1,7.2,20.6,152.04166666666666
23.1,30.8,13.0,1011.9,41.0,4.8,4.6,14.8,141.41666666666666
22.7,30.2,13.0,1012.3,45.0,5.6,1.5,14.8,46.70833333333334
22.4,30.8,12.0,1014.6,43.0,4.8,3.1,9.4,91.75
23.0,31.0,13.0,1013.9,36.0,5.3,4.1,13.0,99.91666666666669
22.6,31.0,13.0,1013.6,48.0,5.0,3.1,7.6,119.70833333333331
24.1,31.0,14.0,1013.3,50.0,5.5,3.7,9.4,110.875
24.2,31.0,17.0,1014.1,57.0,3.9,4.6,11.1,200.33333333333331
22.4,26.2,20.0,1015.0,75.0,2.6,5.9,11.1,203.58333333333331
24.8,31.0,20.3,1014.4,58.0,4.3,5.4,13.0,25.08333333333333
24.6,31.0,19.0,1013.7,63.0,4.7,3.9,11.1,57.08333333333334
21.7,28.9,14.6,1018.1,41.0,5.6,3.9,11.1,349.29166666666674
18.9,28.9,9.0,1015.6,42.0,5.6,2.8,9.4,188.04166666666663
20.6,28.0,11.5,1015.4,41.0,5.1,3.5,9.4,310.25
19.8,29.5,11.0,1015.5,57.0,4.3,1.9,5.4,204.375
21.9,29.5,13.0,1014.4,36.0,5.6,7.2,14.8,223.25
21.0,28.5,15.0,1014.7,41.0,5.5,4.6,14.8,248.95833333333331
24.2,30.6,21.0,1009.4,65.0,4.8,6.9,11.1,172.75
26.0,31.0,20.4,1011.5,63.0,4.8,3.9,9.4,146.79166666666666
24.2,30.4,20.0,1012.8,70.0,3.9,7.0,11.1,113.875
23.8,30.4,15.4,1013.4,41.0,5.3,5.6,18.3,227.0
21.8,29.0,10.4,1015.3,29.0,5.5,4.6,11.1,228.79166666666663
21.2,30.0,9.0,1013.4,36.0,5.3,3.1,7.6,200.875
19.5,28.9,11.0,1014.8,53.0,5.0,3.7,20.6,214.04166666666663
21.0,29.5,12.0,1015.3,46.0,5.5,5.2,13.0,217.25
23.2,29.2,17.0,1016.2,50.0,5.1,8.9,11.1,212.45833333333331
22.1,29.2,16.0,1018.8,53.0,4.5,9.3,13.0,202.66666666666663
